Issue code,Issue name,Company category,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"366030","09WOMEN","Blue chip company","4235","5","0.12","4205","4285","4200","65006","275947577","95939054750","22653850"
"159580","0TO7","Enterprise of middle standing","4710","-45","-0.95","4745","4775","4695","54891","259590975","94353715560","20032636"
"177900","3ALogics","New growth company","7040","-70","-0.98","7070","7160","6710","53078","373598240","67293952000","9558800"
"060310","3S KOREA","Venture business","1865","-11","-0.59","1876","1888","1865","110741","207799779","98955109600","53059040"
"394800","3billion","New growth company","6160","0","0.00","6120","6340","6120","114137","709933300","195404680240","31721539"
"389140","4by4","Venture business","14000","30","0.21","14090","14150","13610","75516","1048432455","156376290000","11169735"
"262260","A Pro","Blue chip company","7260","60","0.83","7220","7340","7150","36019","260336765","105038783520","14468152"
"013310","A-JIN INDUSTRY","Blue chip company","2865","35","1.24","2830","2865","2815","396742","1212091681","111180857430","38806582"
"071670","A-Tech","Enterprise of middle standing","6470","-100","-1.52","6580","6600","6430","16921","109933755","64700000000","10000000"
"036010","ABEL","Enterprise of middle standing","6590","-170","-2.51","6770","6840","6460","245669","1615864370","87600435060","13292934"
"129890","ABKO","Venture business","886","-18","-1.99","904","904","886","272002","242275046","44870061260","50643410"
"298380","ABL Bio","New growth company","87400","5800","7.11","83700","90500","81800","3224304","282932131950","4769863303000","54575095"
"203400","ABN","New growth company","6400","210","3.39","6200","6530","6190","381892","2438575245","188520192000","29456280"
"102120","ABOV","Venture business","11270","-130","-1.14","11450","11470","11210","32140","362524515","200389086310","17780753"
"052790","ACTOZ SOFT","Enterprise of middle standing","6410","60","0.94","6350","6560","6330","2761","17637470","72629389580","11330638"
"179530","ADBIOTECH","New growth company","3810","0","0.00","3775","4170","3690","773744","3038250256","47982408480","12593808"
"054630","ADChips","Issues for administration(none market division)","1580","0","0.00","0","0","0","0","0","12594094680","7970946"
"200710","ADTechnology","Enterprise of middle standing","23700","-550","-2.27","23850","24200","23500","122608","2916760950","318547481400","13440822"
"312610","AFW","Venture business","1397","-16","-1.13","1414","1424","1397","43741","61569004","28298872536","20256888"
"013990","AGABANG&CO","Blue chip company","5100","-50","-0.97","5150","5200","5090","138479","710642815","167726433600","32887536"
"001540","AHN-GOOK PHA","Blue chip company","7930","50","0.63","7880","8000","7790","26897","212375255","103426390600","13042420"
"053800","AHNLAB","Blue chip company","62700","100","0.16","62600","63100","62200","25281","1580780500","697631926200","11126506"
"364950","AIK","Venture business","8370","50","0.60","8500","8770","8340","140674","1203392145","68057633430","8131139"
"163280","AIRRANE","New growth company","16710","-490","-2.85","17130","17320","16710","72785","1234454530","136600724190","8174789"
"059120","AJINEXTEK","Venture business","6630","-40","-0.60","6620","6720","6620","14142","94180635","64633191480","9748596"
"027360","AJU IB INVESTMENT","Venture business","2225","-5","-0.22","2220","2235","2200","192856","427298783","269548528350","121145406"
"354320","ALMAC","New growth company","23850","-150","-0.63","24100","24400","23750","9052","217841100","152434436850","6391381"
"297570","ALOYS","Venture business","829","-8","-0.96","837","849","829","35726","30003224","28700989722","34621218"
"172670","ALT","Venture business","8090","-130","-1.58","8370","8380","7950","69978","562948460","72488495310","8960259"
"475580","ALUX","Venture business","10890","-240","-2.16","11120","11200","10890","104956","1153369785","148375161000","13624900"
"074430","AMINOLOGICS","Enterprise of middle standing","1114","-17","-1.50","1147","1147","1104","173637","193954899","97839104216","87826844"
"125210","AMOGREENTECH","Blue chip company","6970","-30","-0.43","7000","7070","6910","97907","685282620","114982626300","16496790"
"123860","ANAPASS","Venture business","18920","-480","-2.47","19400","19590","18690","52497","1000057030","229375011800","12123415"
"455900","ANGEL","New growth company","22450","-200","-0.88","22600","22850","22350","22497","505771275","340861290950","15183131"
"310200","ANIPLUS","Enterprise of middle standing","5500","100","1.85","5400","5680","5400","1005577","5492925090","282809428000","51419896"
"121600","ANP","Blue chip company","58800","300","0.51","58800","59900","58000","66282","3892499250","717235226400","12197878"
"065660","ANTEROGEN","New growth company","25150","600","2.44","24800","25550","24500","17250","432985300","251653415000","10006100"
"109960","AP Healthcare","More significant investment(none market division)","408","-45","-9.93","440","461","407","6690797","2855225689","90082021752","220789269"
"265520","AP Systems","Blue chip company","18770","-340","-1.78","19110","19120","18660","238958","4499628510","286832272170","15281421"
"200470","APACT","Enterprise of middle standing","2800","70","2.56","2730","2840","2705","388756","1082680205","118613860400","42362093"
"054620","APS","Enterprise of middle standing","4830","10","0.21","4840","4840","4765","12044","57766170","96089087430","19894221"
"211270","APSI","Blue chip company","12200","90","0.74","12240","12300","12070","17236","209970130","184004108800","15082304"
"270520","APTN","Venture business","1225","65","5.60","1185","1226","1133","1044122","1244749551","237137999000","193582040"
"159010","ASFLOW","Venture business","3620","115","3.28","3505","4240","3450","912325","3559418974","48271755180","13334739"
"127710","ASIA BUSINESS DAILY","Enterprise of middle standing","1083","-30","-2.70","1121","1121","1045","143982","152130643","37801120806","34904082"
"154030","ASIA SEED","Venture business","2370","70","3.04","2305","2370","2290","33897","78919960","28586624790","12061867"
"050860","ASIA TECHNOLOGY","Blue chip company","2125","-15","-0.70","2135","2155","2120","14818","31690185","47812500000","22500000"
"445090","ASICLAND","Venture business","30500","-450","-1.45","31050","31050","30500","16268","498499450","331585630000","10871660"
"136410","ASSEMS","Venture business","10200","-520","-4.85","10720","11000","9740","303494","3080909775","112394881200","11019106"
