Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"244920","A Plus Asset","7030","-420","-5.64","7100","7160","6440","625923","4235443965","158932081790","22607693"
"140910","A REIT","3130","0","0.00","0","0","0","0","0","13969290160","4463032"
"015260","A&P","480","4","0.84","486","490","470","223654","106629763","21656109120","45116894"
"078520","ABLE C&C","11100","1000","9.90","10270","11780","9910","2577791","28429994890","288757187100","26014161"
"018250","AEKYUNG INDUSTRIAL","16270","40","0.25","16330","16370","16210","11845","192735600","429689642450","26409935"
"095570","AJ Networks","4225","-15","-0.35","4225","4250","4190","136082","572328224","191192906775","45252759"
"009320","AJIN ELEC COMPONENTS","1030","18","1.78","1012","1045","1012","175788","180870583","50778763100","49299770"
"139990","AJUSTEEL","3830","0","0.00","3830","3835","3805","8474","32360315","148433235620","38755414"
"161000","AK CHEMICAL","11540","-110","-0.94","11650","11780","11510","116415","1349796480","561406101860","48648709"
"006840","AK Holdings","11470","-240","-2.05","11730","11750","11420","7867","90896920","151949524670","13247561"
"001780","ALUKO","2460","-5","-0.20","2460","2500","2435","255078","628026802","238202124720","96830132"
"090430","AMOREPACIFIC","122600","0","0.00","122700","124000","122300","204509","25171842950","7171212253400","58492759"
"002790","AMOREPACIFIC Holdings","28000","350","1.27","27900","28150","27350","195198","5430643425","2224829040000","79458180"
"002795","AMOREPACIFIC Holdings(1P)","11320","130","1.16","11240","11360","11180","17977","202401980","72943476400","6443770"
"00279K","AMOREPACIFIC Holdings(3PC)","21200","50","0.24","21150","21400","20850","3948","83339200","150354640000","7092200"
"090435","AMOREPACIFIC(1P)","41050","550","1.36","40500","42150","40250","50355","2085256575","433398921500","10557830"
"278470","APR","213500","5000","2.40","213000","217000","209000","585872","125023411000","8122405742500","38044055"
"002030","ASIA HOLDINGS","343000","3000","0.88","348500","348500","338500","768","262305500","714860020000","2084140"
"183190","ASIACEMENT","13730","-110","-0.79","13840","13840","13500","84997","1157428030","512771152100","37346770"
"017900","AUK","1920","-16","-0.83","1936","1936","1915","20532","39444733","111252024960","57943763"
"298690","AirBusan","2040","-30","-1.45","2075","2075","2030","108388","221461474","237945600000","116640000"
"008700","AnamElec","1449","-5","-0.34","1454","1468","1439","209382","304267666","111753864180","77124820"
"007460","Aprogen","654","-5","-0.76","651","665","619","1795949","1173986702","208800717408","319267152"
"003060","Aprogen Biologics","620","-9","-1.43","628","629","617","272045","169299667","123012863900","198407845"
"012170","Ascendio","3025","-65","-2.10","3130","3305","2990","157937","489536743","32893072575","10873743"
"002310","AsiaPaprMfg","7750","20","0.26","7700","7780","7640","116031","894503230","322651952500","41632510"
"020560","Asiana Airlines","9560","30","0.31","9680","9680","9490","71642","683979250","1969271197160","205990711"
"267850","AsianaIDT","12000","-150","-1.23","12160","12160","12000","1297","15646070","133200000000","11100000"
"027410","BGF","3910","0","0.00","3910","3955","3900","74671","293043345","374252652810","95716791"
"282330","BGF Retail","119000","-200","-0.17","119700","119900","117800","37432","4441995050","2056784814000","17283906"
"090460","BH","17320","-710","-3.94","17640","17640","16810","1670933","28718217795","596923044280","34464379"
"138930","BNK Financial Group","14650","10","0.07","14600","14940","14600","869561","12824641895","4664318553350","318383519"
"002410","BUMYANG CONST","1935","0","0.00","0","0","0","0","0","53173451700","27479820"
"001460","BYC","37500","-350","-0.92","38500","38600","37000","30862","1154094100","234230625000","6246150"
"001465","BYC(1P)","25250","-150","-0.59","25650","25650","25000","3860","97140925","54384712500","2153850"
"035150","Baiksan","13870","-270","-1.91","14130","14240","13840","27851","388217490","291297282290","21001967"
"005180","Binggrae","75400","-100","-0.13","75700","75900","74900","22420","1686733900","720500006200","9555703"
"377740","BioNote","5400","130","2.47","5270","5430","5240","158732","847633910","551102659200","102056048"
